Date                      HH0                HH1                HH2                HH3               HH11               HH12               HH13               HH14               HH15               HH23        
2017-02-01 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-03 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-05 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-07 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-09 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-11 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-13 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-15 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-17 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
2017-02-19 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1          ---          e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1          ---          e:DF1B2 n:DF1B1  
