Date                     HH24               HH25               HH26               HH27               HH28               HH36               HH37               HH38               HH39        
2017-02-01 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1          ---                ---          e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-03 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1          ---                ---          e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-05 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-07 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-09 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-11 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-13 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-15 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-17 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-02-19 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
