 CRF001        | A           | PAM011          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF026        | A           | PAM015          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF001        | A           | PAM75195        | A             | nb                   | na                    |    1218196818 |   1221386418
 CRF026        | A           | PAM015          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF011        | A           | PAM025          | A             | eb                   | ea                    |    1234695618 |             
 CRF011        | A           | PAM025          | A             | nb                   | na                    |    1234695618 |             
 CRF107        | A           | PAM035          | A             | eb                   | ea                    |    1241953218 |             
 CRF012        | A           | PAM012          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF107        | A           | PAM035          | A             | nb                   | na                    |    1241953218 |             
 CRF124        | A           | PAM042          | A             | eb                   | ea                    |    1242039618 |             
 CRF001        | A           | PAM011          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF012        | A           | PAM012          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF124        | A           | PAM042          | A             | nb                   | na                    |    1242039618 |             
 CRF013        | A           | PAM013          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF013        | A           | PAM013          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF001        | A           | PAM75196        | A             | nb                   | na                    |    1221388218 |   1224928818
 CRF012        | A           | PAM026          | A             | eb                   | ea                    |    1234695618 |             
 CRF012        | A           | PAM026          | A             | nb                   | na                    |    1234695618 |             
 CRF125        | A           | PAM046          | A             | eb                   | ea                    |    1241953218 |             
 CRF126        | A           | PAM045          | A             | eb                   | ea                    |    1242039618 |             
 CRF125        | A           | PAM046          | A             | nb                   | na                    |    1241953218 |             
 CRF126        | A           | PAM045          | A             | nb                   | na                    |    1242039618 |             
 CRF014        | A           | PAM028          | A             | eb                   | ea                    |    1234695618 |   1234951218
 CRF014        | A           | PAM028          | A             | nb                   | na                    |    1234695618 |   1234951218
 CRF001        | A           | PAM75196        | A             | eb                   | ea                    |    1221388218 |   1224928818
 CRF023        | A           | PAM029          | A             | eb                   | ea                    |    1234695618 |             
 CRF023        | A           | PAM029          | A             | nb                   | na                    |    1234695618 |             
 CRF000        | A           | PAM022          | A             | eb                   | ea                    |    1234351818 |             
 CRF025        | A           | PAM014          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF000        | A           | PAM022          | A             | nb                   | na                    |    1234351818 |             
 CRF000        | A           | PAM75196        | A             | eb                   | ea                    |    1218196818 |   1221386418
 CRF000        | A           | PAM010          | A             | eb                   | ea                    |    1224930618 |   1234346418
 CRF001        | A           | PAM024          | A             | eb                   | ea                    |    1234351818 |   1234951218
 CRF000        | A           | PAM75196        | A             | nb                   | na                    |    1218196818 |   1221386418
 CRF025        | A           | PAM014          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF001        | A           | PAM024          | A             | nb                   | na                    |    1234351818 |   1234951218
 CRF000        | A           | PAM010          | A             | nb                   | na                    |    1224930618 |   1234346418
 CRF013        | A           | PAM027          | A             | eb                   | ea                    |    1234351818 |             
 CRF000        | A           | PAM75199        | A             | eb                   | ea                    |    1221388218 |   1224928818
 CRF000        | A           | PAM75199        | A             | nb                   | na                    |    1221388218 |   1224928818
 CRF013        | A           | PAM027          | A             | nb                   | na                    |    1234351818 |             
 CRF024        | A           | PAM030          | A             | eb                   | ea                    |    1234695618 |             
 CRF025        | A           | PAM031          | A             | eb                   | ea                    |    1234351818 |             
 CRF024        | A           | PAM030          | A             | nb                   | na                    |    1234695618 |             
 CRF025        | A           | PAM031          | A             | nb                   | na                    |    1234351818 | 
 CRF026        | A           | PAM032          | A             | eb                   | ea                    |    1234695618 |             
 CRF026        | A           | PAM032          | A             | nb                   | na                    |    1234695618 |             
 CRF001        | A           | PAM024          | A             | eb                   | ea                    |    1234959018 |             
 CRF001        | A           | PAM024          | A             | nb                   | na                    |    1234959018 |             
 CRF014        | A           | PAM047          | A             | eb                   | ea                    |    1241694018 |             
 CRF014        | A           | PAM047          | A             | nb                   | na                    |    1241694018 |             
 CRF002        | A           | PAM023          | A             | eb                   | ea                    |    1234695618 |             
 CRF039        | A           | PAM033          | A             | eb                   | ea                    |    1234695618 |             
 CRF106        | A           | PAM044          | A             | eb                   | ea                    |    1241953218 |             
 CRF108        | A           | PAM039          | A             | eb                   | ea                    |    1242126018 |             
 CRF002        | A           | PAM023          | A             | nb                   | na                    |    1234695618 |             
 CRF039        | A           | PAM033          | A             | nb                   | na                    |    1234695618 |             
 CRF106        | A           | PAM044          | A             | nb                   | na                    |    1241953218 |             
 CRF089        | A           | PAM043          | A             | eb                   | ea                    |    1242039618 |             
 CRF108        | A           | PAM039          | A             | nb                   | na                    |    1242126018 |             
 CRF089        | A           | PAM043          | A             | nb                   | na                    |    1242039618 |             
 CRF001        | A           | PAM75195        | A             | eb                   | ea                    |    1218196818 |   1221386418
