From hera_mc:mac,From hera_mc:snap,From googlesheet:mac,From googlesheet:snap,From snap-head ethers:mac,From snap-head ethers:snap
,,,,00:16:59:dd:13:03,SNPA000008
,,00:28:0a:9a:13:02,SNPA000022,00:39:c5:b2:13:02,SNPA000020
,,00:08:cf:3d:13:03,SNPA000023,00:32:34:33:13:02,SNPA000024
,,00:15:46:45:17:01,SNPC000001,00:15:46:45:17:01,SNPC000001
,,,,00:25:bd:96:16:04,SNPC000002
,,,,00:08:f9:1d:13:03,SNPC000003
,,,,00:14:c3:b0:17:01,SNPC000006
,,,,00:39:a5:36:17:01,SNPC000009
,,,,00:15:02:f0:17:01,SNPC000010
00:36:b5:48:17:01,SNPC000011,00:36:b5:48:17:01,SNPC000011,00:36:b5:48:17:01,SNPC000011
00:32:da:fe:17:01,SNPC000013,00:32:da:fe:17:01,SNPC000013,,
,,,,00:11:fa:8a:17:01,SNPC000014
,,,,00:12:6c:8f:17:01,SNPC000015
00:31:ba:28:17:01,SNPC000016,00:31:ba:28:17:01,SNPC000016,00:31:ba:28:17:01,SNPC000016
,,???,SNPC000053,,
00:30:5a:a3:17:01,SNPC000051,00:30:5a:a3:17:01,SNPC000051,00:29:46:fb:17:01,SNPC000017
00:08:ac:64:17:01,SNPC000033,00:08:ac:64:17:01,SNPC000033,00:24:34:c8:17:01,SNPC000018
00:39:9a:e1:17:01,SNPC000031,00:39:9a:e1:17:01,SNPC000031,00:11:5f:4c:17:01,SNPC000019
,,00:33:84:cd:17:01,SNPC000036,00:08:f6:3f:17:01,SNPC000020
00:06:64:f7:17:01,SNPC000044,00:06:64:f7:17:01,SNPC000044,00:17:ea:0d:17:01,SNPC000021
00:16:5d:4a:17:01,SNPC000037,00:16:5d:4a:17:01,SNPC000037,00:27:0b:c3:17:01,SNPC000022
,,00:09:01:94:17:01,SNPC000041,00:27:70:49:17:01,SNPC000023
00:27:0b:c3:17:01,SNPC000022,00:27:0b:c3:17:01,SNPC000022,00:14:05:bd:17:01,SNPC000024
00:27:70:49:17:01,SNPC000023,00:27:70:49:17:01,SNPC000023,00:15:4e:3b:17:01,SNPC000028
00:31:86:cd:17:01,SNPC000040,00:31:86:cd:17:01,SNPC000040,00:39:57:c5:17:01,SNPC000029
00:14:05:bd:17:01,SNPC000024,00:14:05:bd:17:01,SNPC000024,00:39:ca:36:17:01,SNPC000030
00:12:6c:8f:17:01,SNPC000015,00:12:6c:8f:17:01,SNPC000015,00:39:9a:e1:17:01,SNPC000031
,,00:15:7c:34:17:01,SNPC000027,00:23:15:5d:16:04,SNPC000032
00:36:11:fe:17:01,SNPC000050,00:36:11:fe:17:01,SNPC000050,00:08:ac:64:17:01,SNPC000033
00:26:e3:2c:17:01,SNPC000048,00:26:e3:2c:17:01,SNPC000048,00:26:0b:e2:17:01,SNPC000035
00:21:46:31:17:01,SNPC000043,00:21:46:31:17:01,SNPC000043,00:16:5d:4a:17:01,SNPC000037
,,00:07:9d:89:17:01,SNPC000025,00:37:22:0d:16:04,SNPC000038
,,00:16:bd:75:17:01,SNPC000026,00:31:86:cd:17:01,SNPC000040
00:17:ea:0d:17:01,SNPC000021,00:17:ea:0d:17:01,SNPC000021,00:06:77:64:17:01,SNPC000042
00:23:15:5d:16:04,SNPC000032,00:23:15:5d:16:04,SNPC000032,00:21:46:31:17:01,SNPC000043
00:06:77:64:17:01,SNPC000042,00:06:77:64:17:01,SNPC000042,00:06:64:f7:17:01,SNPC000044
,,00:29:6f:28:17:01,SNPC000012,00:37:21:8d:17:01,SNPC000045
00:35:b7:24:17:01,SNPC000049,00:35:b7:24:17:01,SNPC000049,00:15:95:94:17:01,SNPC000047
00:24:34:c8:17:01,SNPC000018,00:24:34:c8:17:01,SNPC000018,00:26:e3:2c:17:01,SNPC000048
,,00:40:8e:43:17:01,SNPC000034,00:35:b7:24:17:01,SNPC000049
00:15:95:94:17:01,SNPC000047,00:15:95:94:17:01,SNPC000047,00:36:11:fe:17:01,SNPC000050
00:15:4e:3b:17:01,SNPC000028,00:15:4e:3b:17:01,SNPC000028,00:30:5a:a3:17:01,SNPC000051
00:26:0b:e2:17:01,SNPC000035,00:26:0b:e2:17:01,SNPC000035,00:38:20:8e:17:01,SNPC000054
00:37:21:8d:17:01,SNPC000045,00:37:21:8d:17:01,SNPC000045,00:16:9d:88:17:01,SNPC000055
00:29:46:fb:17:01,SNPC000017,00:29:46:fb:17:01,SNPC000017,00:09:1b:d3:17:01,SNPC000056
00:37:22:0d:16:04,SNPC000038,00:37:22:0d:16:04,SNPC000038,00:41:1c:66:17:01,SNPC000058
00:08:f6:3f:17:01,SNPC000020,00:08:f6:3f:17:01,SNPC000020,00:33:eb:a3:17:01,SNPC000060
,,???,SNPC000046,00:08:1b:3f:17:01,SNPC000063
00:11:fa:8a:17:01,SNPC000014,00:11:fa:8a:17:01,SNPC000014,00:05:82:70:17:01,SNPC000064
00:39:57:c5:17:01,SNPC000029,00:39:57:c5:17:01,SNPC000029,00:13:41:89:17:01,SNPC000066
00:39:ca:36:17:01,SNPC000030,00:39:ca:36:17:01,SNPC000030,00:27:1b:1a:17:01,SNPC000067
00:11:5f:4c:17:01,SNPC000019,00:11:5f:4c:17:01,SNPC000019,00:42:59:43:17:01,SNPC000071
,,00:27:51:08:17:01,SNPC000039,00:34:9c:54:17:01,SNPC000072
00:08:f9:1d:13:03,SNPC000003,00:08:f9:1d:13:03,SNPC000003,00:20:5a:34:17:01,SNPC000074
00:14:c3:b0:17:01,SNPC000006,00:14:c3:b0:17:01,SNPC000006,00:21:0a:2e:17:01,SNPC000076
,,N/A,SNPC000007,00:17:fa:8d:17:01,SNPC000079
,,00:16:84:a7:17:01,SNPC000005,00:44:e9:a0:17:01,SNPC000081
,,N/A,SNPC000004,00:37:15:cd:17:01,SNPC000117
00:25:bd:96:16:04,SNPC000002,00:25:bd:96:16:04,SNPC000002,00:20:06:e0:17:01,SNPC000118
,,00:17:9c:54:17:01,SNPC000008,00:35:73:e1:17:01,SNPC000119
,,00:28:3b:29:17:01,SNPC000052,00:40:27:4b:17:01,SNPC000120
00:39:a5:36:17:01,SNPC000009,00:39:a5:36:17:01,SNPC000009,00:18:1f:8d:17:01,SNPC000121
00:15:02:f0:17:01,SNPC000010,00:15:02:f0:17:01,SNPC000010,00:23:45:44:17:01,SNPC000123
00:38:20:8e:17:01,SNPC000054,00:38:20:8e:17:01,SNPC000054,00:26:6b:b4:17:01,SNPC000124
00:16:9d:88:17:01,SNPC000055,00:16:9d:88:17:01,SNPC000055,00:27:1a:08:17:01,SNPC000125
00:09:1b:d3:17:01,SNPC000056,00:09:1b:d3:17:01,SNPC000056,00:38:fb:b2:17:01,SNPC000126
,,???,SNPC000057,00:40:83:ca:17:01,SNPC000127
00:41:1c:66:17:01,SNPC000058,00:41:1c:66:17:01,SNPC000058,00:26:3e:2c:17:01,SNPC000128
,,00:40:11:54:17:01,SNPC000059,00:36:2f:9d:17:01,SNPC000129
00:33:eb:a3:17:01,SNPC000060,00:33:eb:a3:17:01,SNPC000060,,
,,00:39:97:82:16:04,SNPC000061,,
,,DNE,SNPC000062,,
00:08:1b:3f:17:01,SNPC000063,00:08:1b:3f:17:01,SNPC000063,,
00:05:82:70:17:01,SNPC000064,00:05:82:70:17:01,SNPC000064,,
,,00:24:5b:34:17:01,SNPC000065,,
00:13:41:89:17:01,SNPC000066,00:13:41:89:17:01,SNPC000066,,
00:27:1b:1a:17:01,SNPC000067,00:27:1b:1a:17:01,SNPC000067,,
,,00:22:8e:fc:17:01,SNPC000068,,
,,00:10:b5:22:17:01,SNPC000069,,
,,00:15:5d:f0:17:01,SNPC000070,,
00:42:59:43:17:01,SNPC000071,00:42:59:43:17:01,SNPC000071,,
00:34:9c:54:17:01,SNPC000072,00:34:9c:54:17:01,SNPC000072,,
,,00:07:f6:64:17:01,SNPC000073,,
00:20:5a:34:17:01,SNPC000074,00:20:5a:34:17:01,SNPC000074,,
,,00:39:37:24:17:01,SNPC000075,,
00:21:0a:2e:17:01,SNPC000076,00:21:0a:2e:17:01,SNPC000076,,
,,00:14:a1:34:17:01,SNPC000077,,
,,00:15:7b:0d:17:01,SNPC000078,,
00:17:fa:8d:17:01,SNPC000079,00:17:fa:8d:17:01,SNPC000079,,
,,00:20:a9:96:17:01,SNPC000080,,
00:44:e9:a0:17:01,SNPC000081,00:44:e9:a0:17:01,SNPC000081,,
,,00:35:88:86:17:01,SNPC000082,,
,,00:09:9c:09:17:01,SNPC000083,,
,,00:14:42:b0:17:01,SNPC000084,,
,,00:18:c1:54:17:01,SNPC000085,,
,,00:30:02:cf:17:01,SNPC000086,,
,,00:27:71:4b:17:01,SNPC000087,,
,,00:13:f8:e6:17:01,SNPC000088,,
,,00:26:23:fd:17:01,SNPC000089,,
,,00:13:47:34:17:01,SNPC000090,,
,,00:35:56:0e:17:01,SNPC000091,,
,,00:06:d0:3f:17:01,SNPC000092,,
,,00:44:30:9d:17:01,SNPC000093,,
,,00:35:c3:2f:17:01,SNPC000094,,
,,00:12:65:3f:17:01,SNPC000095,,
,,???,SNPC00009,,
,,???,SNPC000097,,
,,00:10:90:22:17:01,SNPC000098,,
,,00:12:1d:b0:17:01,SNPC000099,,
,,00:39:39:5c:17:01,SNPC000100,,
,,00:15:39:f2:17:01,SNPC000101,,
,,???,SNPC000102,,
,,???,SNPC000103,,
,,???,SNPC000104,,
,,???,SNPC000105,,
,,???,SNPC000106,,
,,???,SNPC000107,,
,,???,SNPC000108,,
,,???,SNPC000109,,
,,???,SNPC000110,,
,,???,SNPC000111,,
,,???,SNPC000112,,
,,00:28:1c:40:17:01,SNPC000113,,
,,00:11:ba:4c:17:01,SNPC000114,,
,,???,SNPC000115,,
,,00:28:e2:e1:17:01,SNPC000116,,
,,00:37:15:cd:17:01,SNPC000117,,
,,00:20:06:e0:17:01,SNPC000118,,
,,00:35:73:e1:17:01,SNPC000119,,
,,00:40:27:4b:17:01,SNPC000120,,
,,00:18:1f:8d:17:01,SNPC000121,,
,,???,SNPC000122,,
,,00:23:45:44:17:01,SNPC000123,,
,,00:26:6b:b4:17:01,SNPC000124,,
,,00:27:1a:08:17:01,SNPC000125,,
,,00:38:fb:b2:17:01,SNPC000126,,
,,00:40:83:ca:17:01,SNPC000127,,
,,00:26:3e:2c:17:01,SNPC000128,,
