Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,,Comments
0,E,1,16,1,,C72,e2,0,RF_maintenance,,
0,N,1,16,1,,C72,n0,0,RF_maintenance,,
2,E,8,40,2,,C72,e6,0,RF_maintenance,,
2,N,8,40,2,,C72,n4,0,RF_maintenance,,
1,E,2,18,3,,C72,e10,0,RF_maintenance,,
1,N,2,18,3,,C72,n8,0,RF_maintenance,,
11,E,9,45,4,,A8,e2,1,RF_maintenance,,
11,N,9,45,4,,A8,n0,1,RF_maintenance,,
12,E,3,41,5,,A8,e6,1,RF_maintenance,,
12,N,3,41,5,,A8,n4,1,RF_maintenance,,
13,E,4,21,6,,A8,e10,1,RF_maintenance,,
13,N,4,21,6,,A8,n8,1,RF_maintenance, ,
14,E,5,22,7,,A24,e2,2,RF_maintenance,,
14,N,5,22,7,,A24,n0,2,RF_maintenance,,
23,E,11,23,8,,A24,e6,2,RF_maintenance,,
23,N,11,23,8,,A24,n4,2,RF_maintenance,,
24,E,12,43,9,,A24,e10,2,RF_maintenance,,
24,N,12,43,9,,A24,n8,2,RF_maintenance, ,
25,E,6,25,10,,A20,e2,3,RF_maintenance,,
25,N,6,25,10,,A20,n0,3,RF_maintenance, ,
26,E,7,27,11,,A20,e6,3,RF_maintenance,,
26,N,7,27,11,,A20,n4,3,RF_maintenance, ,
39,E,14,42,12,,A20,e10,3,RF_maintenance,,
39,N,14,42,12,,A20,n8,3,RF_maintenance, ,
#END,,,,,,,,,,,
NCM,,,,,,,,,,,
FPS,1,,,,,,,,,,
PCH,1,,,,,,,,,,
WR port,1-2,switch-port,,,,,,,,,
