Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights (NE/SE/SW/NW),Feed Installed By,H6C,H6Ccheck
131,E,253,240,1,245,C59,e2,0,,,Yellow FEM covers installed.,,,,
131,N,253,240,1,245,C59,n0,0,,,,4.401,,,
115,E,247,282,2,354,C59,e6,0,,,,,,,
115,N,247,282,2,354,C59,n4,0,,,,,,,
133,E,239,370,3,355,C59,e10,0,,,Yellow FEM covers installed,4.4,,Feed Height Before: 0 Sticker Targets: Installed now Stiffener Braces: Present Already  Carey Caps: Present Already Protected Fiber: Present Already  Cable Conduit: Installed Spiral Wrap: Present Already D Shackle Cable Tie: Installed now Cables Labelled: Completed,
133,N,239,370,3,355,C59,n8,0,,,,4.4,,,
134,E,242,311,4,352,C93,e2,1,,,,,,,
134,N,242,311,4,352,C93,n0,1,,,,,,,
97,E,246,233,5,353,C93,e6,1,,,,4.408,,Feed Height Before: 4.399 Sticker Targets: Already Present Stiffener Braces: Present Already  Carey Caps: Present Already Protected Fiber: Present Already  Cable Conduit: Installed Spiral Wrap: Present Already D Shackle Cable Tie: Installed Cables Labelled: Completed,
97,N,246,233,5,353,C93,n4,1,,,,,,,
132,E,241,234,6,250,C93,e10,1,,,,,,,
132,N,241,234,6,250,C93,n8,1,,,,,,,
80,E,268,372,7,349,C26,e2,2,,,Yellow FEM cover installed.,,,,
80,N,268,372,7,349,C26,n0,2,,,,4.409,,,
96,E,244,241,8,350,C26,e6,2,,,,4.409,,,
96,N,244,241,8,350,C26,n4,2,,,,4.409,,,
114,E,270,244,9,351,C26,e10,2,,,,4.408,,Feed Height Before: 4.397 Sticker Targets: Already Present Stiffener Braces: Present Already  Carey Caps: Present Already Protected Fiber: Present Already  Cable Conduit: Installed Spiral Wrap: Present Already D Shackle Cable Tie: Installed Cables Labelled: Completed,
114,N,270,244,9,351,C26,n8,2,,,,,,,
79,E,243,239,10,348,C89,e2,3,,,,,,,
79,N,243,239,10,348,C89,n0,3,,,,,,,
95,E,245,238,11,255,C89,e6,3,,,,,,,
95,N,245,238,11,255,C89,n4,3,,,,,,,
113,E,271,343,12,256,C89,e10,3,,,,4.407,,Feed Height Before: 4.409 Sticker Targets: Already Present Stiffener Braces: Present Already  Carey Caps: Present Already Protected Fiber: Present Already  Cable Conduit: Installed Spiral Wrap: Present Already D Shackle Cable Tie: Installed Cables Labelled: Completed,
113,N,271,343,12,256,C89,n8,3,,,,4.407,,,
#END,,,,,,,,,,,,,,,
NCM,20,,,,,,,,,,,,,,
FPS,18,,,,,,,,,,,,,,
PCH,19,,,,,,,,,,,,,,
