Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights (NE/SE/SW/NW),:::,H6C,H6Ccheck
161,E,113,168,1,162,35,e2,0,digital_ok,,,4.409,Polished (see db),,
161,N,113,168,1,162,35,n0,0,digital_ok,,,,,,
162,E,122,165,2,161,35,e6,0,digital_ok,,,4.403,Polished (see db),,
162,N,122,165,2,161,35,n4,0,digital_ok,,,,,,
182,E,123,171,3,301,35,e10,0,RF_maintenance,,FEM Switch error -DCJ,4.411,Polished (see db),,
182,N,123,171,3,301,35,n8,0,RF_maintenance,,,,,,
183,E,109,182,4,164,29,e2,1,digital_ok,,,4.409,Polished (see db),,
183,N,109,182,4,164,29,n0,1,digital_ok,,,,,,
,E,,,5,165,29,e6,1,,,,,,,
,N,,,5,165,29,n4,1,,,,,,,
,E,,,6,166,29,e10,1,,,FEM Switch error -DCJ,,,,
,N,,,6,166,29,n8,1,,,,,,,
140,E,114,166,7,167,15,e2,2,digital_ok,,,4.405,Polished (see db),,
140,N,114,166,7,167,15,n0,2,digital_ok,,,,,,
141,E,117,156,8,168,15,e6,2,digital_ok,,,4.407, Polished (see db),,
141,N,117,156,8,168,15,n4,2,digital_ok,,,,,,
142,E,121,170,9,169,15,e10,2,digital_ok,,,,,,
142,N,121,170,9,169,15,n8,2,digital_ok,,,,,,
160,E,118,172,10,170,47,e2,3,digital_ok,,,4.407,Polished (see db),,
160,N,118,172,10,170,47,n0,3,digital_ok,,,,,,
180,E,119,176,11,171,47,e6,3,RF_maintenance,,,4.409,Polished (see db),,
180,N,119,176,11,171,47,n4,3,RF_maintenance,,,,,,
181,E,120,169,12,172,47,e10,3,digital_ok,,,4.411,Polished (see db),,
181,N,120,169,12,172,47,n8,3,digital_ok,,,,,,
#END,,,,,,,,,,,,,,,
NCM,8,,,,,,,,,,,,,,
FPS,11,,,,,,,,,,,,,,
PCH,10,,,,,,,,,,,,,,
