Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,,,,,,,,,
165,E,108,181,1,173,51,e2,0,digital_ok,,,,,,,,,,
165,N,108,181,1,173,51,n0,0,digital_ok,,,,,,,,,,
184,E,107,369,5,174,43,e6,1,digital_ok,,,,,,,,,,
184,N,107,369,5,174,43,n4,1,digital_ok,,,,,,,,,,
185,E,125,378,2,175,51,e6,0,RF_maintenance,,,,,,,,,,
185,N,125,378,2,175,51,n4,0,RF_maintenance,,,,,,,,,,
186,E,112,335,3,176,51,e10,0,dish_maintenance,,,,,,,,,,
186,N,112,335,3,176,51,n8,0,dish_maintenance,,,,,,,,,,
166,E,105,198,4,177,43,e2,1,RF_maintenance,,,,,,,,,,
166,N,105,198,4,177,43,n0,1,RF_maintenance,,,,,,,,,,
187,E,115,375,6,178,43,e10,1,digital_ok,,,,,,,,,,
187,N,115,375,6,178,43,n8,1,digital_ok,,,,,,,,,,
163,E,110,173,7,179,28,e2,2,digital_ok,,,,,,,,,,
163,N,110,173,7,179,28,n0,2,digital_ok,,,,,,,,,,
164,E,106,174,8,180,28,e6,2,digital_ok,,,,,,,,,,
164,N,106,174,8,180,28,n4,2,digital_ok,,,,,,,,,,
143,E,139,175,9,295,28,e10,2,RF_maintenance,,,,,,,,,,
143,N,139,175,9,295,28,n8,2,RF_maintenance,,,,,,,,,,
144,E,127,179,10,182,38,e2,3,digital_ok,,,,,,,,,,
144,N,127,179,10,182,38,n0,3,digital_ok,,,,,,,,,,
145,E,111,183,11,183,38,e6,3,digital_ok,,,,,,,,,,
145,N,111,183,11,183,38,n4,3,digital_ok,,,,,,,,,,
146,E,135,338,12,184,38,e10,3,digital_ok,,,,,,,,,,
146,N,135,338,12,184,38,n8,3,digital_ok,,,,,,,,,,
#END,,,,,,,,,,,,,,,,,,,
NCM,10,,,,,,,,,,,,,,,,,,
FPS,16,,,,,,,,,,,,,,,,,,
PCH,11,,                                                                                                                   ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,OLD PRE 11DEC2023,,KEEP BELOW UNTIL VERIFIED,,,???,,OLD PRE 10NOV2025,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,166,3,177,51,e10,0,,166,E,105,198,5,174,43,e6,1,digital_ok
,,,,3,177,51,n8,0,,166,N,105,198,5,174,43,n4,1,digital_ok
,,,184,4,176,43,e2,1,,184,E,107,369,2,175,51,e6,0,RF_maintenance
,,,,4,176,43,n0,1,,184,N,107,369,2,175,51,n4,0,RF_maintenance
,,,185,5,175,43,e6,1,,185,E,125,378,3,176,51,e10,0,dish_maintenance
,,,,5,175,43,n4,1,,185,N,125,378,3,176,51,n8,0,dish_maintenance
,,,186,2,174,51,e6,0,,186,E,112,335,4,177,43,e2,1,RF_maintenance
,,,,2,174,51,n4,0,,186,N,112,335,4,177,43,n0,1,RF_maintenance
