,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights (NE/SE/SW/NW),Spectre,,
151,E,252,274,1,281,C12,e2,0,,,,,,,
151,N,252,274,1,281,C12,n0,0,,,,,,,
171,E,133,279,2,282,C12,e6,0,,,,,,,
171,N,133,279,2,282,C12,n4,0,,,,,,,
172,E,222,,3,,C12,e10,0,,,,,,,
172,N,222,,3,,C12,n8,0,,,,,,,
173,E,214,275,4,,C90,e2,1,,,,,,,
173,N,214,275,4,,C90,n0,1,,,,,,,
192,E,251,270,5,285,C90,e6,1,,,,,,,
192,N,251,270,5,285,C90,n4,1,,,,,,,
193,E,229,280,6,286,C90,e10,1,,,,,,,https://drive.google.com/drive/folders/1RtfR57eXmwgv4KPACAonbXGcxmg4gzo7?usp=sharing
193,N,229,280,6,286,C90,n8,1,,,,,,,
152,E,213,276,7,287,C101,e2,2,,,,,,,
152,N,213,276,7,287,C101,n0,2,,,,,,,
153,E,215,277,8,288,C101,e6,2,,,,,,,
153,N,215,277,8,288,C101,n4,2,,,,,,,
154,E,221,325,9,289,C101,e10,2,,,,,,,
154,N,221,325,9,289,C101,n8,2,,,,,,,
174,E,212,273,10,290,C120,e2,3,,,,,,,
174,N,212,273,10,290,C120,n0,3,,,,,,,
194,E,223,271,11,,C120,e6,3,,,,,,,
194,N,223,271,11,,C120,n4,3,,,,,,,
213,E,228,278,12,292,C120,e10,3,,,,,,,
213,N,228,278,12,292,C120,n8,3,,,,,,,
#END,,,,,,,,,,,,,,,
Date:,2019/11/18,,,,,,,,,,,,,,
NCM,11,,,,,,,,,,,,,,
FPS,22,,,,,,,,,,,,,,
PCH,20,,,,,,,,,,,,,,
