Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed height,,H6C,H6Ccheck
7,E,146,187,1,197,C66,e2,0,digital_ok,,,4.408,,Feed Height Before: 4.410 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
7,N,146,187,1,197,C66,n0,0,digital_ok,,,,,,
8,E,145,191,2,298,C66,e6,0,RF_maintenance,,,4.407,,Feed Height Before: 4.412 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
8,N,145,191,2,298,C66,n4,0,RF_maintenance,,,,,,
9,E,144,193,3,199,C66,e10,0,digital_ok,,,4.406,,Feed Height Before: 4.408 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
9,N,144,193,3,199,C66,n8,0,digital_ok,,,,,,
19,E,161,185,4,200,C74,e2,1,digital_ok,,,4.407,,Feed Height Before: 4.405 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
19,N,161,185,4,200,C74,n0,1,digital_ok,,,,,,
20,E,163,195,5,201,C74,e6,1,digital_ok,,,4.409,,Feed Height Before: 4.404 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
20,N,163,195,5,201,C74,n4,1,digital_ok,,,,,,
10,E,158,189,6,202,C74,e10,1,digital_ok,,,4.408,,Feed Height Before: 4.409 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
10,N,158,189,6,202,C74,n8,1,digital_ok,,,,,,
21,E,142,194,7,252,C79,e2,2,digital_ok,,,4.405,,Feed Height Before: 4.412 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
21,N,142,194,7,252,C79,n0,2,digital_ok,,,,,,
31,E,157,190,8,204,C79,e6,2,digital_ok,,,4.408,,Feed Height Before: 4.411 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
31,N,157,190,8,204,C79,n4,2,digital_ok,,,,,,
32,E,143,196,9,205,C79,e10,2,RF_maintenance,,,4.408,,Feed Height Before: 4.401 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
32,N,143,196,9,205,C79,n8,2,RF_maintenance,,,,,,
33,E,164,192,10,206,C81,e2,3,RF_maintenance,,,4.408,,Feed Height Before: 4.406 Sticker Targets: Installed Stiffener Braces: Present Already Carey Caps: Present Already Protected Fiber: Present Already Cable Conduit: Installed  Spiral Wrap: Installed D Shackle Cable Tie: Installed Cables Labelled: Completed,
33,N,164,192,10,206,C81,n0,3,RF_maintenance,,,,,,
321,E,287,203,11,328,C81,e6,3,,,,,,,
321,N,287,203,11,328,C81,n4,3,,,,,,,
323,E,273,321,12,329,C81,e10,3,,,,,,,
323,N,273,321,12,329,C81,n8,3,,,,,,,
#END,,,,,,,,,,,,,,,
NCM,22,,,,,,,,,,,,,,
FPS,14,,,,,,,,,,,,,,
PCH,14,,,,,,,,,,,,,,
WRS,1-4,switch-port,,,,,,,,,,,,,
