Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,,,,H6C,H6Ccheck
211,E,191,262,1,257,C70,e2,0,RF_ok,,,,,,
211,N,191,262,1,257,C70,n0,0,RF_ok,,,,,,
244,E,187,252,2,258,C70,e6,0,RF_maintenance,,,,,,
244,N,187,252,2,258,C70,n4,0,RF_maintenance,,,,,,
245,E,189,257,3,259,C70,e10,0,RF_ok,,,,,,
245,N,189,257,3,259,C70,n8,0,RF_ok,,,,,,
246,E,169,352,4,253,C82,e2,1,dish_maintenance,,,,,,
246,N,169,352,4,253,C82,n0,1,RF_maintenance,,,,,,
261,E,188,248,5,261,C82,e6,1,RF_ok,,,,,,
261,N,188,248,5,261,C82,n4,1,RF_ok,,,,,,
262,E,170,264,6,39,C82,e10,1,dish_maintenance,,,,,,
262,N,170,264,6,39,C82,n8,1,dish_maintenance,,,,,,
208,E,195,259,7,41,C85,e2,2,dish_maintenance,,,,,,
208,N,195,259,7,41,C85,n0,2,dish_maintenance,,,,,,
209,E,196,265,8,16,C85,e6,2,dish_maintenance,,,,,,
209,N,196,265,8,16,C85,n4,2,dish_maintenance,,,,,,
210,E,190,260,9,25,C85,e10,2,dish_maintenance,,,,,,
210,N,190,260,9,25,C85,n8,2,dish_maintenance,,,,,,
227,E,186,255,10,254,C86,e2,3,RF_ok,,,,,,
227,N,186,255,10,254,C86,n0,3,RF_ok,,,,,,
228,E,192,266,11,267,C86,e6,3,RF_maintenance,,,,,,
228,N,192,266,11,267,C86,n4,3,RF_maintenance,,,,,,
229,E,183,254,12,268,C86,e10,3,RF_maintenance,,,,,,
229,N,183,254,12,268,C86,n8,3,RF_maintenance,,,,,,
#END,,,,,,,,,,,,,,,
NCM,15,,,,,,,,,,,,,,
FPS,19,,,,,,,,,,,,,,
PCH,17,,,,,,,,,,,,,,
