Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,height,Spectra,Feed Installed By
65,E,95,127,1,125,C1,E2,0,RF_maintenance,,,,N3P1E,
65,N,95,127,1,125,C1,N0,0,RF_maintenance,,,,N3P1N,
66,E,76,135,2,126,C1,E6,0,digital_ok,,,,N3P2E,
66,N,76,135,2,126,C1,N4,0,digital_ok,,,,N3P2N,
67,E,88,126,3,127,C1,E10,0,digital_ok,,,,N3P3E,
67,N,88,126,3,127,C1,N8,0,digital_ok,,,,N3P3N,
68,E,77,128,4,124,C2,E2,1,digital_ok,,,,N3P4E,
68,N,77,128,4,124,C2,N0,1,digital_ok,,,,N3P4N,
37,E,86,136,5,129,C2,E6,1,RF_maintenance,,,,N3P5E,
37,N,86,136,5,129,C2,N4,1,RF_maintenance,, ,,N3P5N,
38,E,87,117,6,130,C2,E10,1,RF_maintenance,,,,N3P6E,
38,N,87,117,6,130,C2,N8,1,RF_maintenance,, ,,N3P6N,
53,E,92,125,7,131,C37,E2,2,digital_ok,,,,N3P7E,
53,N,92,125,7,131,C37,N0,2,digital_ok,,,,N3P7N,
320,E,349,231,8,330,C37,E6,2,dish_maintenance,,,4.405,N3P8E,
320,N,349,231,8,330,C37,N4,2,dish_maintenance,,,,N3P8N,
51,E,75,133,9,133,C37,E10,2,RF_maintenance,,,,N3P9E,
51,N,75,133,9,133,C37,N8,2,RF_maintenance,,,,N3P9N,
52,E,94,134,10,134,C54,E2,3,digital_ok,,Feed conduit fell out.,,N3P10E,
52,N,94,134,10,134,C54,N0,3,digital_ok,,,,N3P10N,
36,E,93,132,11,135,C54,E6,3,digital_ok,,,,N3P11E,
36,N,93,132,11,135,C54,N4,3,digital_ok,,,,N3P11N,
50,E,85,107,12,136,C54,E10,3,digital_ok,,,,N3P12E,
50,N,85,107,12,136,C54,N8,3,digital_ok,,,,N3P12N,
#END,,,,,,,,,,,,,,
Date:,2019/10/03,,,,,,,,,,,,,
NCM,5,,,,,,,,,,,,,
FPS,9,,,,,,,,,,,,,
PCH,7,,,,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note,2019Nov11,,MRD,"PVC curtains: 2 pieces full length of right side, same for left side, 1 horizontal piece across the front under the PAM. 2 ~24"" long pieces cable tied down from the SNAPv2 ladder top backstop.  There's vertical sheet of double layer cardboard above the SNAPv2 ladder and under the NCM.",,,,,,,,,,
Note,2019Nov11,,MRD,1U Fan tray is mounted to the front of the rack right above the PAM chassis,,,,,,,,,,
Node,2019Nov11,,MRD,"NCM Production SN 5.  SNAPv2s: C000054, C000037, C000002, C000001",,,,,,,,,,
Note,2019Nov14,,MRD,"install the SFP+ transceivers into the SNAPv2s.  Connect the fiber optic cables to/from the patch panel.  1 = 1GbE 1490/1310nm, 2= 1GbE 1490/1310nm, 3=NC, 4=NC, 5,6=10GBASE-LR, 7,8=10GBASE-LR, 9,10=10GBASE-LR, 11,12=10GBASE-LR",,,,,,,,,,
Note,2019Nov14,,MRD,"No link light on the White Rabbit Switch with 3 attempts.  NCM SC REF port to Node PP-1 and Container PP-1 to WRS, nor NCM to Node PP-2 and Container PP-2 to WRS, nor NCM to Node PP-2 and Container PP-1 to WRS.",,,,,,,,,,
Note,2019Nov13,,MRD,"Twelve (12) 6ft (1.8m) blue CAT7 SSTP cables, originally intended just for NCM I2C sensors and Node ID, used for the rear of PAM chassis to the side panel connections.  Numbered with small flags of green electrical tape at both ends.",,,,,,,,,,
Note,2019Nov13,,MRD,Minor detail: may have a long (6ft) IEC 60320 C13/C14 VAC power cord for NCM to FEM PSU where a short (3ft) version intended,,,,,,,,,,
