Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights,Spectre,H6C,H6Ccheck
72,E,61,124,1,135,C22,E2,0,digital_ok,,,,,,
72,N,61,124,1,135,C22,N0,0,digital_ok,,,,,,
42,E,53,123,2,102,C22,E6,0,digital_ok,,FEM powered - node feedthru is bad -- swapped to other feedthru and getting 4dBm optical,,,,
42,N,53,123,2,102,C22,N4,0,digital_ok,,"FEM powered - low optical power (1.9dBm) swapped the feedthru with E, so even worse now.",,,,
54,E,54,120,3,112,C22,E10,0,digital_ok,,FEM powered - low optical power (-1.3 out -2.7 in),,,,
54,N,54,120,3,112,C22,N8,0,digital_ok,,"FEM powered - good optical power out (5.25 dBm), lower in (4.0 dBm -- despite cleaning etc)",,,,
56,E,72,105,4,104,C3,E2,1,digital_ok,,,,,,
56,N,72,105,4,104,C3,N0,1,digital_ok,,,,,,
69,E,65,121,5,105,C3,E6,1,digital_ok,,,"4,41",,,
69,N,65,121,5,105,C3,N4,1,digital_ok,,,4.41,,,
40,E,58,101,6,106,C3,E10,1,digital_ok,,,4.409,,,
40,N,58,101,6,106,C3,N8,1,digital_ok,,,4.409,,,
55,E,23,119,7,107,C48,E2,2,digital_ok,,,4.407,,,
55,N,23,119,7,107,C48,N0,2,digital_ok,,,4.407,,,
70,E,55,112,8,108,C48,E6,2,digital_ok,,Antennas 70 and 71 were swapped in the sheet,4.41,,,
70,N,55,112,8,108,C48,N4,2,digital_ok,,,4.41,,,
71,E,63,114,9,109,C48,E10,2,digital_ok,,Antennas 71 and 70 were swapped in the sheet,4.41,,,
71,N,63,114,9,109,C48,N8,2,digital_ok,,,4.41,,,
41,E,52,104,10,110,C40,E2,3,digital_ok,,,4.409,,,
41,N,52,104,10,110,C40,N0,3,digital_ok,,,4.409,,,
57,E,71,113,11,136,C40,E6,3,RF_maintenance,,,4.409,,,
57,N,71,113,11,136,C40,N4,3,digital_ok,,,4.409,,,
324,E,317,327,12,331,C40,E10,3,,,,,,,
324,N,317,327,12,331,C40,N8,3,,,,,,,
#END,,,,,,,,,,,,,,,
NCM,21,,,,,,,,,,,,,,
FPS,5,,,,,,,,,,,,,,
PCH,5,,,,,,,,,,,,,,
WR port,0-7,switch-port,,,,,,,,,,,,,
