hpn,hpn_rev,comment,library_file,posting_gpstime
PAM75134,B,Was on HH85 but failed.,,1188579822
FEM75029,A,Was on HH71 but failed.,,1188579822
FEM75012,A,Was on HH55 but failed.,,1188665302
FEM75026,A,Was on HH67 but failed.,,1189411218
CFB75001,A,"installed Receiverator 8 1-8->A1-A8, 9-16->B1-B8",,1191398418
CFB75002,A,"installed Receiverator 5 1-8->A1-A8, 9-16->B1-B8",,1191398418
RO4A1E,A,Has 10 dB pad on rcvr output,,1191791610
RO4A1N,A,Has 10 dB pad on rcvr output,,1191791612
RO4A2E,A,Has 10 dB pad on rcvr output,,1191791613
RO4A2N,A,Has 10 dB pad on rcvr output,,1191791615
RO4A3E,A,Has 10 dB pad on rcvr output,,1191791616
RO4A3N,A,Has 10 dB pad on rcvr output,,1191791618
RO4A4E,A,Has 10 dB pad on rcvr output,,1191791619
RO4A4N,A,Has 10 dB pad on rcvr output,,1191791621
RO4A5E,A,Has 10 dB pad on rcvr output,,1191791622
RO4A5N,A,Has 10 dB pad on rcvr output,,1191791624
RO4A6E,A,Has 10 dB pad on rcvr output,,1191791626
RO4A6N,A,Has 10 dB pad on rcvr output,,1191791627
RO4A7E,A,Has 10 dB pad on rcvr output,,1191791629
RO4A7N,A,Has 10 dB pad on rcvr output,,1191791630
RO4A8E,A,Has 10 dB pad on rcvr output,,1191791632
RO4A8N,A,Has 10 dB pad on rcvr output,,1191791633
RO4B1E,A,Has 10 dB pad on rcvr output,,1191791635
RO4B1N,A,Has 10 dB pad on rcvr output,,1191791636
RO4B2E,A,Has 9 dB pad on rcvr output,,1191791638
RO4B2N,A,Has 9 dB pad on rcvr output,,1191791639
RO4B3E,A,Has 9 dB pad on rcvr output,,1191791641
RO4B3N,A,Has 9 dB pad on rcvr output,,1191791643
RO4B4E,A,Has 9 dB pad on rcvr output,,1191791644
RO4B4N,A,Has 9 dB pad on rcvr output,,1191791646
RO4B5E,A,Has 9 dB pad on rcvr output,,1191791647
RO4B5N,A,Has 9 dB pad on rcvr output,,1191791648
RO4B6E,A,Has 9 dB pad on rcvr output,,1191791650
RO4B6N,A,Has 9 dB pad on rcvr output,,1191791651
RO4B7E,A,Has 9 dB pad on rcvr output,,1191791653
RO4B7N,A,Has 9 dB pad on rcvr output,,1191791654
RO4B8E,A,Has 9 dB pad on rcvr output,,1191791656
RO4B8N,A,Has 9 dB pad on rcvr output,,1191791657
PAM75112,B,Apparently died and has been replaced by PAM75168,,1191791659
RI4A1E,A,E/N pol swapped at receiverator input,,1191791660
RI4A1N,A,E/N pol swapped at receiverator input,,1191791662
RI4A2E,A,E/N pol swapped at receiverator input,,1191791664
RI4A2N,A,E/N pol swapped at receiverator input,,1191791665
RI4A3E,A,E/N pol swapped at receiverator input,,1191791667
RI4A3N,A,E/N pol swapped at receiverator input,,1191791668
RI4A4E,A,E/N pol swapped at receiverator input,,1191791670
RI4A4N,A,E/N pol swapped at receiverator input,,1191791671
RI4A5E,A,E/N pol swapped at receiverator input,,1191791673
RI4A5N,A,E/N pol swapped at receiverator input,,1191791674
RI4A7E,A,E/N pol swapped at receiverator input,,1191791676
RI4A7N,A,E/N pol swapped at receiverator input,,1191791677
RI4A8E,A,E/N pol swapped at receiverator input,,1191791679
RI4A8N,A,E/N pol swapped at receiverator input,,1191791680
RI4B1E,A,E/N pol swapped at receiverator input,,1191791682
RI4B1N,A,E/N pol swapped at receiverator input,,1191791683
RI4B3E,A,E/N pol swapped at receiverator input,,1191791685
RI4B3N,A,E/N pol swapped at receiverator input,,1191791686
RI4B4E,A,E/N pol swapped at receiverator input,,1191791688
RI4B4N,A,E/N pol swapped at receiverator input,,1191791689
RI4B5E,A,E/N pol swapped at receiverator input,,1191791691
RI4B5N,A,E/N pol swapped at receiverator input,,1191791692
RI4B6E,A,E/N pol swapped at receiverator input,,1191791694
RI4B6N,A,E/N pol swapped at receiverator input,,1191791696
RI4A1E,A,swap E/N back,,1191829073
RI4A1N,A,swap E/N back,,1191829081
HH121,A,E/N pols swapped at receiverator,,1191904187
HH143,A,E/N pols swapped at receiverator,,1191904203
