station_name,station_type_name,datum,tile,northing,easting,elevation,created_gpstime
HH283,herahexn,WGS84,34J,6601289.9,540916.2,1050.45,1228557618
HH296,herahexn,WGS84,34J,6601302.55,540908.9,1050.35,1228730418
HH297,herahexn,WGS84,34J,6601302.55,540923.5,1050.35,1228730418
HH311,herahexn,WGS84,34J,6601315.19,540945.4,1050.26,1228730418
HH228,herahexe,WGS84,34J,6601230.9,541047.6,1051.06,1235383218
HH130,herahexe,WGS84,34J,6601167.68,541054.9,1051.65,1235901618
HH135,herahexw,WGS84,34J,6601184.54,540835.9,1051.37,1236592818
HH188,herahexe,WGS84,34J,6601205.61,541018.4,1051.26,1234260018
HH148,herahexe,WGS84,34J,6601180.32,541033.0,1051.5,1237111218
HH110,herahexe,WGS84,34J,6601155.03,541033.0,1051.76,1234519218
HH109,herahexe,WGS84,34J,6601155.03,541018.4,1051.74,1234692018
HH112,herahexe,WGS84,34J,6601155.03,541062.2,1051.75,1240221618
HH268,herahexn,WGS84,34J,6601277.26,540908.9,1050.55,1240912818
HH270,herahexn,WGS84,34J,6601277.26,540938.1,1050.55,1242036018
HH229,herahexe,WGS84,34J,6601230.9,541062.2,1051.03,1242640818
HH246,herahexe,WGS84,34J,6601243.54,541054.9,1050.96,1245578418
HH287,herahexn,WGS84,34J,6601289.9,540974.6,1050.49,1245578418
HH261,herahexe,WGS84,34J,6601256.19,541033.0,1050.81,1246010418
HH35,herahexe,WGS84,34J,6601091.81,541069.5,1052.32,1246788018
HH79,herahexe,WGS84,34J,6601129.75,541076.8,1051.96,1247479218
ND07,node,WGS84,34J,6601162.28,540868.96,1050.0,1248775218
HH80,herahexe,WGS84,34J,6601129.75,541091.4,1051.98,1249725618
HH114,herahexe,WGS84,34J,6601155.03,541091.4,1051.76,1252058418
HH115,herahexe,WGS84,34J,6601155.03,541106.0,1051.81,1255082418
HH133,herahexe,WGS84,34J,6601167.68,541098.7,1051.68,1255168818
HH151,herahexe,WGS84,34J,6601180.32,541076.8,1051.51,1255168818
HH153,herahexe,WGS84,34J,6601180.32,541106.0,1051.54,1255341618
HH171,herahexe,WGS84,34J,6601192.97,541069.5,1051.4,1255428018
HH172,herahexe,WGS84,34J,6601192.97,541084.1,1051.42,1255428018
ND04,node,WGS84,34J,6601125.58,540946.28,1050.0,1256551218
ND05,node,WGS84,34J,6601125.48,541006.4,1050.0,1256551218
ND03,node,WGS84,34J,6601129.38,540891.81,1050.0,1257674418
ND10,node,WGS84,34J,6601162.48,541039.02,1050.0,1257674418
HH249,herahexe,WGS84,34J,6601243.54,541098.7,1050.95,1251799218
HH232,herahexe,WGS84,34J,6601230.9,541106.0,1051.07,1251799218
HH214,herahexe,WGS84,34J,6601218.25,541113.3,1051.21,1257069618
HH174,herahexe,WGS84,34J,6601192.97,541113.3,1051.4,1257156018
HH213,herahexe,WGS84,34J,6601218.25,541098.7,1051.21,1255773618
HH194,herahexe,WGS84,34J,6601205.61,541106.0,1051.3,1257156018
HH288,herahexn,WGS84,34J,6601289.9,540989.2,1050.49,1258970418
HH289,herahexn,WGS84,34J,6601289.9,541003.8,1050.51,1259056818
ND12,node,WGS84,34J,6601202.8,540859.63,1050.0,1264500018
ND13,node,WGS84,34J,6601193.89,540914.92,1050.0,1264500018
ND14,node,WGS84,34J,6601194.72,540979.12,1050.0,1264500018
HH284,herahexn,WGS84,34J,6601289.9,540930.8,1050.45,1228557618
HH310,herahexn,WGS84,34J,6601315.19,540930.8,1050.25,1228730418
HH298,herahexn,WGS84,34J,6601302.55,540938.1,1050.35,1228730418
HH189,herahexe,WGS84,34J,6601205.61,541033.0,1051.26,1235383218
HH129,herahexe,WGS84,34J,6601167.68,541040.3,1051.64,1235988018
HH146,herahexe,WGS84,34J,6601180.32,541003.8,1051.68,1236506418
HH149,herahexe,WGS84,34J,6601180.32,541047.6,1051.56,1237111218
HH208,herahexe,WGS84,34J,6601218.25,541025.7,1051.13,1234605618
HH187,herahexe,WGS84,34J,6601205.61,541003.8,1051.27,1234692018
HH150,herahexe,WGS84,34J,6601180.32,541062.2,1051.53,1240221618
HH269,herahexn,WGS84,34J,6601277.26,540923.5,1050.54,1240912818
HH247,herahexe,WGS84,34J,6601243.54,541069.5,1050.96,1245578418
HH300,herahexn,WGS84,34J,6601302.55,540967.3,1050.38,1245578418
HH274,herahexn,WGS84,34J,6601277.26,540996.5,1050.61,1246701618
HH48,herahexe,WGS84,34J,6601104.46,541062.2,1052.21,1246874418
HH96,herahexe,WGS84,34J,6601142.39,541084.1,1051.89,1247565618
ND08,node,WGS84,34J,6601162.48,540922.22,1050.0,1248775218
HH97,herahexe,WGS84,34J,6601142.39,541098.7,1051.86,1249725618
HH131,herahexe,WGS84,34J,6601167.68,541069.5,1051.64,1255082418
HH134,herahexe,WGS84,34J,6601167.68,541113.3,1051.62,1255255218
HH154,herahexe,WGS84,34J,6601180.32,541120.6,1051.5,1256896818
HH290,herahexn,WGS84,34J,6601289.9,541018.4,1050.5,1259316018
HH204,herahexn,WGS84,34J,6601226.68,540967.3,1051.03,1206374771
PPE8,paperpolarized,WGS84,34J,6601140.81,540994.13,1051.81,1096484416
SA11,stationgrid,WGS84,34J,6601156.75,541039.09,1051.7,1096484416
SA13,stationgrid,WGS84,34J,6601156.81,541069.13,1051.69,1096484416
HH285,herahexn,WGS84,34J,6601289.9,540945.4,1050.45,1228557618
HH299,herahexn,WGS84,34J,6601302.55,540952.7,1050.36,1228730418
HH190,herahexe,WGS84,34J,6601205.61,541047.6,1051.29,1235383218
HH127,herahexe,WGS84,34J,6601167.68,541011.1,1051.61,1236074418
HH147,herahexe,WGS84,34J,6601180.32,541018.4,1051.5,1236506418
HH170,herahexe,WGS84,34J,6601192.97,541054.9,1051.41,1237111218
HH226,herahexe,WGS84,34J,6601230.9,541018.4,1051.03,1234605618
HH207,herahexe,WGS84,34J,6601218.25,541011.1,1051.14,1234692018
HH167,herahexe,WGS84,34J,6601192.97,541011.1,1051.36,1234778418
HH271,herahexn,WGS84,34J,6601277.26,540952.7,1050.56,1245578418
HH245,herahexe,WGS84,34J,6601243.54,541040.3,1050.93,1245751218
HH301,herahexn,WGS84,34J,6601302.55,540981.9,1050.4,1246701618
HH63,herahexe,WGS84,34J,6601117.1,541069.5,1052.08,1246960818
HH113,herahexe,WGS84,34J,6601155.03,541076.8,1051.75,1249725618
HH132,herahexe,WGS84,34J,6601167.68,541084.1,1051.65,1255168818
HH152,herahexe,WGS84,34J,6601180.32,541091.4,1051.53,1255341618
HH175,herahexe,WGS84,34J,6601192.97,541127.9,1051.39,1256983218
HH291,herahexn,WGS84,34J,6601289.9,541033.0,1050.53,1259402418
PI47,paperimaging,WGS84,34J,6601192.7,541100.71,1051.37,1096484416
PI48,paperimaging,WGS84,34J,6601213.5,541100.07,1051.2,1096484416
HH180,herahexn,WGS84,34J,6601214.04,540901.6,1051.12,1206210031
HH73,herahexw,WGS84,34J,6601133.96,540981.9,1052.0,1206374741
PI49,paperimaging,WGS84,34J,6601234.3,541098.19,1050.99,1096484416
PI5,paperimaging,WGS84,34J,6601276.86,541029.51,1050.75,1096484416
PI50,paperimaging,WGS84,34J,6601259.1,541095.68,1050.83,1096484416
PI6,paperimaging,WGS84,34J,6601285.12,541035.74,1050.72,1096484416
PI7,paperimaging,WGS84,34J,6601284.89,541043.32,1050.59,1096484416
PI8,paperimaging,WGS84,34J,6601279.9,541042.88,1050.61,1096484416
PI9,paperimaging,WGS84,34J,6601280.54,541056.5,1050.7,1096484416
PPA10,paperpolarized,WGS84,34J,6601156.75,541024.09,1051.65,1096484416
PPA12,paperpolarized,WGS84,34J,6601156.81,541054.13,1051.7,1096484416
HH91,herahexw,WGS84,34J,6601146.6,541003.8,1051.8,1206374749
HH185,herahexn,WGS84,34J,6601214.04,540974.6,1051.16,1206374756
PPA14,paperpolarized,WGS84,34J,6601156.86,541084.09,1051.74,1096484416
PPA6,paperpolarized,WGS84,34J,6601156.78,540964.09,1051.68,1096484416
PPA8,paperpolarized,WGS84,34J,6601156.82,540994.09,1051.66,1096484416
PPE10,paperpolarized,WGS84,34J,6601140.8,541024.11,1051.82,1096484416
PPE12,paperpolarized,WGS84,34J,6601140.82,541054.1,1051.87,1096484416
PPE14,paperpolarized,WGS84,34J,6601140.83,541084.15,1051.85,1096484416
PPE6,paperpolarized,WGS84,34J,6601140.81,540964.11,1051.86,1096484416
HH200,herahexn,WGS84,34J,6601226.68,540908.9,1051.01,1206374763
HH308,herahexn,WGS84,34J,6601315.19,540901.6,1050.31,1228644018
HH309,herahexn,WGS84,34J,6601315.19,540916.2,1050.22,1228730418
HH209,herahexe,WGS84,34J,6601218.25,541040.3,1051.15,1235383218
HH128,herahexe,WGS84,34J,6601167.68,541025.7,1051.61,1236074418
HH168,herahexe,WGS84,34J,6601192.97,541025.7,1051.37,1234260018
HH191,herahexe,WGS84,34J,6601205.61,541062.2,1051.28,1237197618
HH227,herahexe,WGS84,34J,6601230.9,541033.0,1051.04,1234605618
HH166,herahexe,WGS84,34J,6601192.97,540996.5,1051.5,1234778418
HH272,herahexn,WGS84,34J,6601277.26,540967.3,1050.58,1245578418
HH302,herahexn,WGS84,34J,6601302.55,540996.5,1050.4,1246701618
HH49,herahexe,WGS84,34J,6601104.46,541076.8,1052.19,1247220018
HH292,herahexe,WGS84,34J,6601281.47,541047.6,1050.64,1259402418
SA5,stationgrid,WGS84,34J,6601156.76,540949.12,1051.69,1096484416
SA7,stationgrid,WGS84,34J,6601156.78,540979.09,1051.62,1096484416
SA9,stationgrid,WGS84,34J,6601156.82,541009.09,1051.66,1096484416
SC10,stationgrid,WGS84,34J,6601148.77,541024.11,1051.71,1096484416
SC11,stationgrid,WGS84,34J,6601148.77,541039.11,1051.84,1096484416
SC12,stationgrid,WGS84,34J,6601148.8,541054.08,1051.77,1096484416
SC13,stationgrid,WGS84,34J,6601148.8,541069.08,1051.81,1096484416
SC14,stationgrid,WGS84,34J,6601148.84,541084.11,1051.78,1096484416
SC5,stationgrid,WGS84,34J,6601148.77,540949.14,1051.78,1096484416
SC6,stationgrid,WGS84,34J,6601148.75,540964.11,1051.73,1096484416
SC7,stationgrid,WGS84,34J,6601148.75,540979.11,1051.72,1096484416
SC8,stationgrid,WGS84,34J,6601148.8,540994.13,1051.74,1096484416
SC9,stationgrid,WGS84,34J,6601148.8,541009.13,1051.72,1096484416
SE11,stationgrid,WGS84,34J,6601140.8,541039.11,1051.87,1096484416
SE13,stationgrid,WGS84,34J,6601140.82,541069.1,1051.8,1096484416
SE5,stationgrid,WGS84,34J,6601140.78,540949.13,1051.8,1096484416
