hpn,hpn_rev,hptype,manufacturer_number,start_gpstime,stop_gpstime
System,general,system,SYS,1201860018,
RI3B8E,A,cable-post-amp(in),RI3B7E,1190887218,
A57,H,antenna,S/N70,1202032818,
HA330,A,station,HA330,1202260397,
CC2R5C8,A,cable-container,CBLC2R5C8,1190887218,
FEM75066,A,front-end,75066,1203242418,
PAM75158,B,post-amp,75158,1204970418,
FEM75067,A,front-end,75067,1205661618,
HH180,A,station,HH180,1206210031,
PAM75156,B,post-amp,75156,1206093618,
HH73,A,station,HH73,1206374741,
HH222,A,station,HH222,1206374781,
HH259,A,station,HH259,1206374821,
A217,H,antenna,S/N102,1206352818,
A255,H,antenna,S/N124,1206352818,
FDP0,A,feed,P0,1096509616,1200000000.0
FDP1,A,feed,P1,1096509616,1200000000.0
FDP100,A,feed,P100,1096509616,1200000000.0
FDP101,A,feed,P101,1096509616,1200000000.0
FDP102,A,feed,P102,1096509616,1200000000.0
FDP103,A,feed,P103,1096509616,1200000000.0
FDP106,A,feed,P106,1096509616,1200000000.0
FDP109,A,feed,P109,1096509616,1200000000.0
FDP110,A,feed,P110,1096509616,1200000000.0
FDP111,A,feed,P111,1096509616,1200000000.0
FDP113,A,feed,P113,1096509616,1200000000.0
FDP114,A,feed,P114,1096509616,1200000000.0
FDP115,A,feed,P115,1096509616,1200000000.0
FDP116,A,feed,P116,1096509616,1200000000.0
FDP117,A,feed,P117,1096509616,1200000000.0
FDP118,A,feed,P118,1096509616,1200000000.0
FDP119,A,feed,P119,1096509616,1200000000.0
FDP12,A,feed,P12,1096509616,1200000000.0
FDP120,A,feed,P120,1096509616,1200000000.0
FDP121,A,feed,P121,1096509616,1200000000.0
FDP122,A,feed,P122,1096509616,1200000000.0
FDP123,A,feed,P123,1096509616,1200000000.0
FDP124,A,feed,P124,1096509616,1200000000.0
FDP125,A,feed,P125,1096509616,1200000000.0
FDP126,A,feed,P126,1096509616,1200000000.0
FDP14,A,feed,P14,1096509616,1200000000.0
FDP15,A,feed,P15,1096509616,1200000000.0
FDP17,A,feed,P17,1096509616,1200000000.0
FDP2,A,feed,P2,1096509616,1200000000.0
FDP21,A,feed,P21,1096509616,1200000000.0
FDP23,A,feed,P23,1096509616,1200000000.0
FDP24,A,feed,P24,1096509616,1200000000.0
FDP25,A,feed,P25,1096509616,1200000000.0
FDP26,A,feed,P26,1096509616,1200000000.0
FDP27,A,feed,P27,1096509616,1200000000.0
FDP28,A,feed,P28,1096509616,1200000000.0
FDP3,A,feed,P3,1096509616,1200000000.0
FDP30,A,feed,P30,1096509616,1200000000.0
FDP32,A,feed,P32,1096509616,1200000000.0
FDP34,A,feed,P34,1096509616,1200000000.0
FDP36,A,feed,P36,1096509616,1200000000.0
FDP37,A,feed,P37,1096509616,1200000000.0
FDP38,A,feed,P38,1096509616,1200000000.0
FDP39,A,feed,P39,1096509616,1200000000.0
FDP4,A,feed,P4,1096509616,1200000000.0
FDP40,A,feed,P40,1096509616,1200000000.0
FDP41,A,feed,P41,1096509616,1200000000.0
FDP42,A,feed,P42,1096509616,1200000000.0
FDP44,A,feed,P44,1096509616,1200000000.0
FDP45,A,feed,P45,1096509616,1200000000.0
FDP46,A,feed,P46,1096509616,1200000000.0
FDP47,A,feed,P47,1096509616,1200000000.0
FDP56,A,feed,P56,1096509616,1200000000.0
FDP57,A,feed,P57,1096509616,1200000000.0
FDP58,A,feed,P58,1096509616,1200000000.0
FDP59,A,feed,P59,1096509616,1200000000.0
FDP60,A,feed,P60,1096509616,1200000000.0
FDP61,A,feed,P61,1096509616,1200000000.0
FDP62,A,feed,P62,1096509616,1200000000.0
FDP63,A,feed,P63,1096509616,1200000000.0
FDP66,A,feed,P66,1096509616,1200000000.0
FDP67,A,feed,P67,1096509616,1200000000.0
FDP68,A,feed,P68,1096509616,1200000000.0
FDP69,A,feed,P69,1096509616,1200000000.0
FDP7,A,feed,P7,1096509616,1200000000.0
FDP70,A,feed,P70,1096509616,1200000000.0
FDP71,A,feed,P71,1096509616,1200000000.0
FDP73,A,feed,P73,1096509616,1200000000.0
FDP74,A,feed,P74,1096509616,1200000000.0
FDP76,A,feed,P76,1096509616,1200000000.0
FDP77,A,feed,P77,1096509616,1200000000.0
FDP78,A,feed,P78,1096509616,1200000000.0
FDP79,A,feed,P79,1096509616,1200000000.0
FDP82,A,feed,P82,1096509616,1200000000.0
FDP83,A,feed,P83,1096509616,1200000000.0
FDP84,A,feed,P84,1096509616,1200000000.0
FDP85,A,feed,P85,1096509616,1200000000.0
FDP86,A,feed,P86,1096509616,1200000000.0
FDP87,A,feed,P87,1096509616,1200000000.0
FDP90,A,feed,P90,1096509616,1200000000.0
FDP93,A,feed,P93,1096509616,1200000000.0
FDP94,A,feed,P94,1096509616,1200000000.0
FDP95,A,feed,P95,1096509616,1200000000.0
FDP98,A,feed,P98,1096509616,1200000000.0
FDP99,A,feed,P99,1096509616,1200000000.0
FDP49,A,feed,P49,1096509616,1200000000.0
FDP5,A,feed,P5,1096509616,1200000000.0
FDP50,A,feed,P50,1096509616,1200000000.0
FDP51,A,feed,P51,1096509616,1200000000.0
FDP52,A,feed,P52,1096509616,1200000000.0
FDP54,A,feed,P54,1096509616,1200000000.0
ND0,A,station,ND0,1210845618,
PCH1,A,pam-chassis,PCH1,1215946818,
FDV1,A,feed,MIT1,1210935618,
RI3B8N,A,cable-post-amp(in),RI3B7N,1190887218,
FDA57,B,feed,P57,1202032818,
A330,H,antenna,S/N77,1202032818,
CC2R6C8,A,cable-container,CBLC2R6C8,1190887218,
PAM75159,B,post-amp,75159,1203242418,
PAM75157,B,post-amp,75157,1205661618,
HH181,A,station,HH181,1206210033,
HH74,A,station,HH74,1206374743,
HH223,A,station,HH223,1206374783,
HH260,A,station,HH260,1206374823,
A218,H,antenna,S/N103,1206352818,
A256,H,antenna,S/N125,1206352818,
SNP023,A,snap,SNP023,1215946818,
FDV2,A,feed,MIT2,1210935618,
PAM75132,B,post-amp,75132,1190887218,
HH58,A,station,HH58,1202260273,
FDA66,B,feed,P66,1202032818,
HH182,A,station,HH182,1206210035,
HH89,A,station,HH89,1206374745,
HH224,A,station,HH224,1206374785,
HH266,A,station,HH266,1206374825,
A220,H,antenna,S/N104,1206352818,
A257,H,antenna,S/N126,1206352818,
SNP008,A,snap,SNP008,1215946818,
FDV3,A,feed,MIT3,1210935618,
RO3B8E,A,cable-post-amp(out),RO3B7E,1190887218,
A58,H,antenna,S/N71,1202032818,
C7F330,A,cable-feed75,C7F330,1202032818,
HH183,A,station,HH183,1206210037,
HH90,A,station,HH90,1206374747,
HH225,A,station,HH225,1206374787,
HH281,A,station,HH281,1206374827,
A221,H,antenna,S/N105,1206352818,
A258,H,antenna,S/N127,1206352818,
FPS1,A,fem-power-supply,FPS1,1215946818,
FDV4,A,feed,CCL,1217934018,
RO3B8N,A,cable-post-amp(out),RO3B7N,1190887218,
FDA58,B,feed,P58,1202032818,
HA334,A,station,HA334,1202260415,
A180,H,antenna,S/N80,1206093618,
HH91,A,station,HH91,1206374749,
HH233,A,station,HH233,1206374789,
A73,H,antenna,S/N84,1206352818,
A222,H,antenna,S/N106,1206352818,
A259,H,antenna,S/N128,1206352818,
SNP024,A,snap,SNP024,1215946818,
FDV5,A,feed,CCL,1217934018,
CR3B8E,A,cable-receiverator,CBLR3B7E,1190887218,
HH72,A,station,HH72,1202260282,
A334,H,antenna,S/N78,1202032818,
A181,H,antenna,S/N81,1206093618,
HH178,A,station,HH178,1206374750,
HH235,A,station,HH235,1206374790,
A74,H,antenna,S/N85,1206352818,
A223,H,antenna,S/N107,1206352818,
A260,H,antenna,S/N129,1206352818,
N0,A,node,N0,1215946818,
FDV6,A,feed,CCL,1217934018,
CR3B8N,A,cable-receiverator,CBLR3B7N,1190887218,
A72,H,antenna,S/N72,1202032818,
FDA67,B,feed,P67,1202032818,
A182,H,antenna,S/N82,1206093618,
HH179,A,station,HH179,1206374752,
HH236,A,station,HH236,1206374792,
A89,H,antenna,S/N86,1206352818,
A224,H,antenna,S/N108,1206352818,
A266,H,antenna,S/N130,1206352818,
NCM1,A,node-control-module,NCM1,1215946818,
FDV7,A,feed,CCL,1217934018,
DF1C4,A,f-engine,PF1C4,1190887218,
FDA59,B,feed,P59,1202032818,
C7F334,A,cable-feed75,C7F334,1202032818,
A183,H,antenna,S/N83,1206093618,
HH184,A,station,HH184,1206374754,
HH237,A,station,HH237,1206374794,
A90,H,antenna,S/N87,1206352818,
A225,H,antenna,S/N109,1206352818,
A281,H,antenna,S/N131,1206352818,
PAM75194,A,post-amp,PAM75194,1215946818,
DF1C3,A,f-engine,PF1C3,1190887218,
HH81,A,station,HH81,1202260299,
HA338,A,station,HA338,1202260442,
FDA69,B,feed,P69,1206093618,
HH185,A,station,HH185,1206374756,
HH238,A,station,HH238,1206374796,
A91,H,antenna,S/N88,1206352818,
