station_type_name,prefix,description,plot_marker
container,CR,Container location,k*
herahex,HH,HERA Hex locations,ro
node,ND,Node location,r*
paperhex,PH,PAPER Hex locations,rs
paperimaging,PI,PAPER Imaging locations,gs
paperpolarized,PP,PAPER Polarized locations,bd
stationgrid,S,Station grid locations,ks
cofa,COFA,Center of array,bs
heraringa,HA,HERA inner ring,ro
heraringb,HB,HERA outer ring,ro
herahexw,HH,HERA hex locations W tridrant,ro
herahexe,HH,HERA hex locations E tridrant,ro
herahexn,HH,HERA hex locations N tridrant,ro
