 FEM011        | A           | CRF001          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM92         | A           | CRF001          | A             | e                    | ea                    |    1221388218 |   1224928818
 FEM019        | A           | CRF011          | A             | e                    | ea                    |    1234695618 |             
 FEM012        | A           | CRF012          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM019        | A           | CRF011          | A             | n                    | na                    |    1234695618 |             
 FEM031        | A           | CRF107          | A             | e                    | ea                    |    1241953218 |             
 FEM013        | A           | CRF013          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM031        | A           | CRF107          | A             | n                    | na                    |    1241953218 |             
 FEM032        | A           | CRF124          | A             | e                    | ea                    |    1242039618 |             
 FEM013        | A           | CRF013          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM032        | A           | CRF124          | A             | n                    | na                    |    1242039618 |             
 FEM92         | A           | CRF001          | A             | n                    | na                    |    1221388218 |   1224928818
 FEM020        | A           | CRF012          | A             | e                    | ea                    |    1234695618 |   1241778618
 FEM020        | A           | CRF012          | A             | n                    | na                    |    1234695618 |   1241778618
 FEM029        | A           | CRF125          | A             | e                    | ea                    |    1241953218 |             
 FEM028        | A           | CRF126          | A             | e                    | ea                    |    1242039618 |             
 FEM029        | A           | CRF125          | A             | n                    | na                    |    1241953218 |             
 FEM028        | A           | CRF126          | A             | n                    | na                    |    1242039618 |             
 FEM022        | A           | CRF014          | A             | e                    | ea                    |    1234695618 |             
 FEM022        | A           | CRF014          | A             | n                    | na                    |    1234695618 |             
 FEM016        | A           | CRF000          | A             | e                    | ea                    |    1234351818 |             
 FEM012        | A           | CRF012          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM016        | A           | CRF000          | A             | n                    | na                    |    1234351818 |             
 FEM018        | A           | CRF001          | A             | e                    | ea                    |    1234351818 |             
 FEM018        | A           | CRF001          | A             | n                    | na                    |    1234351818 |             
 FEM021        | A           | CRF013          | A             | e                    | ea                    |    1234351818 |             
 FEM023        | A           | CRF023          | A             | e                    | ea                    |    1234695618 |             
 FEM021        | A           | CRF013          | A             | n                    | na                    |    1234351818 |             
 FEM023        | A           | CRF023          | A             | n                    | na                    |    1234695618 |             
 FEM014        | A           | CRF025          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM025        | A           | CRF025          | A             | e                    | ea                    |    1234351818 |             
 FEM06         | A           | CRF000          | A             | e                    | ea                    |    1218196818 |   1221386418
 FEM025        | A           | CRF025          | A             | n                    | na                    |    1234351818 |             
 FEM010        | A           | CRF000          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM014        | A           | CRF025          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM06         | A           | CRF000          | A             | n                    | na                    |    1218196818 |   1221386418
 FEM010        | A           | CRF000          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM96         | A           | CRF000          | A             | e                    | ea                    |    1221388218 |   1224928818
 FEM024        | A           | CRF024          | A             | e                    | ea                    |    1234695618 |   1241779818
 FEM96         | A           | CRF000          | A             | n                    | na                    |    1221388218 |   1224928818
 FEM024        | A           | CRF024          | A             | n                    | na                    |    1234695618 |   1241779818
 FEM04         | A           | CRF001          | A             | e                    | ea                    |    1218196818 |   1221386418
 FEM015        | A           | CRF026          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM04         | A           | CRF001          | A             | n                    | na                    |    1218196818 |   1221386418
 FEM026        | A           | CRF026          | A             | e                    | ea                    |    1234695618 |             
 FEM026        | A           | CRF026          | A             | n                    | na                    |    1234695618 |             
 FEM027        | A           | CRF039          | A             | e                    | ea                    |    1234695618 |             
 FEM017        | A           | CRF002          | A             | e                    | ea                    |    1234695618 |   1241777418
 FEM040        | A           | CRF002          | A             | e                    | ea                    |    1241781618 |             
 FEM030        | A           | CRF106          | A             | e                    | ea                    |    1241953218 |             
 FEM033        | A           | CRF108          | A             | e                    | ea                    |    1242126018 |             
 FEM027        | A           | CRF039          | A             | n                    | na                    |    1234695618 |             
 FEM017        | A           | CRF002          | A             | n                    | na                    |    1234695618 |   1241777418
 FEM040        | A           | CRF002          | A             | n                    | na                    |    1241781618 |             
 FEM030        | A           | CRF106          | A             | n                    | na                    |    1241953218 |             
 FEM044        | A           | CRF089          | A             | e                    | ea                    |    1242039618 |             
 FEM033        | A           | CRF108          | A             | n                    | na                    |    1242126018 |             
 FEM044        | A           | CRF089          | A             | n                    | na                    |    1242039618 |             
 FEM041        | A           | CRF012          | A             | e                    | ea                    |    1241782818 |             
 FEM041        | A           | CRF012          | A             | n                    | na                    |    1241782818 |             
 FEM011        | A           | CRF001          | A             | e                    | ea                    |    1224930618 |   1234346418
 FEM015        | A           | CRF026          | A             | n                    | na                    |    1224930618 |   1234346418
 FEM043        | A           | CRF024          | A             | e                    | ea                    |    1241784018 |             
 FEM043        | A           | CRF024          | A             | n                    | na                    |    1241784018 |             
