| HA330      | A     | station     | HA330   | 2018-02-10 01:13:36 | None   |         | ground   |                                  | 540762.9E, 6601032.8N, 1053.1m |
| HA334      | A     | station     | HA334   | 2018-02-10 01:13:54 | None   |         | ground   |                                  | 540689.9E, 6601159.2N, 1051.6m |
| HA338      | A     | station     | HA338   | 2018-02-10 01:14:21 | None   |         | ground   |                                  | 540762.9E, 6601285.7N, 1050.4m |
| HH0        | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540901.6E, 6601070.7N, 1052.6m |
| HH100      | A     | station     | HH100   | 2018-01-09 22:32:33 | None   |         | ground   |                                  | 540879.7E, 6601159.2N, 1051.6m |
| HH101      | A     | station     | HH101   | 2018-01-09 22:32:53 | None   |         | ground   |                                  | 540894.3E, 6601159.2N, 1051.6m |
| HH102      | A     | station     | HH102   | 2018-01-09 22:33:14 | None   |         | ground   |                                  | 540908.9E, 6601159.2N, 1051.6m |
| HH103      | A     | station     | HH103   | 2018-01-09 22:33:34 | None   |         | ground   |                                  | 540923.5E, 6601159.2N, 1051.6m |
| HH104      | A     | station     | HH104   | 2018-01-09 22:33:57 | None   |         | ground   |                                  | 540938.1E, 6601159.2N, 1051.7m |
| HH105      | A     | station     | HH105   | 2018-01-09 22:34:13 | None   |         | ground   |                                  | 540952.7E, 6601159.2N, 1051.8m |
| HH106      | A     | station     | HH106   | 2018-01-09 22:34:20 | None   |         | ground   |                                  | 540967.3E, 6601159.2N, 1051.7m |
| HH107      | A     | station     | HH107   | 2018-11-20 10:00:37 | None   |         | ground   |                                  | 540981.9E, 6601159.2N, 1051.7m |
| HH108      | A     | station     | HH108   | 2018-11-20 10:00:37 | None   |         | ground   |                                  | 540996.5E, 6601159.2N, 1051.7m |
| HH10       | A     | station     | HH10    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541047.6E, 6601070.7N, 1052.6m |
| HH116      | A     | station     | HH116   | 2018-02-10 01:12:23 | None   |         | ground   |                                  | 540843.2E, 6601171.9N, 1051.7m |
| HH117      | A     | station     | HH117   | 2018-01-09 22:34:34 | None   |         | ground   |                                  | 540857.8E, 6601171.9N, 1051.6m |
| HH118      | A     | station     | HH118   | 2018-01-09 22:34:56 | None   |         | ground   |                                  | 540872.4E, 6601171.9N, 1051.5m |
| HH119      | A     | station     | HH119   | 2018-01-09 22:35:17 | None   |         | ground   |                                  | 540887.0E, 6601171.9N, 1051.5m |
